Test_Type,n_subj_test,FullAugmentation,FullAugFactor,TrainAugFactor,TrainAugmentation,pre_trained_model,outer_fold,inner_fold,epoch,loss,categorical_acc,val_loss,val_categorical_acc,epoch_time (s),test_time (s),TrainSubjects,TestSubjects
,0,False,None,False,None,MobileNetV2,10,1,1,19.703882217407227,0.2137681096792221,7.422250747680664,0.3188405930995941,48.31605839729309,3.560974597930908,,
,0,False,None,False,None,MobileNetV2,10,1,2,2.443084478378296,0.5797101259231567,1.8928403854370117,0.5942028760910034,34.52961087226868,2.235430955886841,,
,0,False,None,False,None,MobileNetV2,10,1,3,0.5289311408996582,0.8170289993286133,1.393623948097229,0.6231883764266968,34.730772733688354,4.163910627365112,,
,0,False,None,False,None,MobileNetV2,10,1,4,0.19392423331737518,0.9311594367027283,1.6178021430969238,0.5942028760910034,32.976940393447876,2.5265376567840576,,
,0,False,None,False,None,MobileNetV2,10,1,5,0.06733480840921402,0.9800724387168884,0.8987997770309448,0.7101449370384216,34.625675439834595,2.572479486465454,,
,0,False,None,False,None,MobileNetV2,10,1,6,0.016365306451916695,0.9981883764266968,0.9028713703155518,0.7536231875419617,34.771509647369385,2.6839096546173096,,
,0,False,None,False,None,MobileNetV2,10,1,7,0.010576707310974598,1.0,0.8419088125228882,0.7246376872062683,34.15115761756897,2.6335465908050537,,
,0,False,None,False,None,MobileNetV2,10,1,8,0.006091629154980183,1.0,0.793317437171936,0.7536231875419617,33.44301652908325,2.6631345748901367,,
,0,False,None,False,None,MobileNetV2,10,1,9,0.004820693749934435,1.0,0.7691340446472168,0.7971014380455017,40.22218179702759,3.5885164737701416,,
,0,False,None,False,None,MobileNetV2,10,1,10,0.0036709322594106197,1.0,0.7823069095611572,0.7681159377098083,32.93363285064697,2.4890427589416504,,
,0,False,None,False,None,MobileNetV2,10,1,11,0.0033683867659419775,1.0,0.7652443647384644,0.7681159377098083,34.96493220329285,3.739664077758789,,
,0,False,None,False,None,MobileNetV2,10,1,12,0.0030681006610393524,1.0,0.7641090750694275,0.7681159377098083,35.15809988975525,2.447185754776001,,
,0,False,None,False,None,MobileNetV2,10,1,13,0.002885006135329604,1.0,0.7544385194778442,0.782608687877655,32.98260259628296,2.60532808303833,,
,0,False,None,False,None,MobileNetV2,10,2,1,17.45465850830078,0.2278480976819992,7.360151767730713,0.2028985470533371,39.74055051803589,3.5786173343658447,,
,0,False,None,False,None,MobileNetV2,10,2,2,2.208214521408081,0.5461121201515198,2.6559250354766846,0.5362318754196167,31.144116163253784,2.4255974292755127,,
,0,False,None,False,None,MobileNetV2,10,2,3,0.6602691411972046,0.8028932809829712,1.3520028591156006,0.5942028760910034,34.65658140182495,3.6093451976776123,,
,0,False,None,False,None,MobileNetV2,10,2,4,0.18444204330444336,0.938517153263092,0.6330488324165344,0.7246376872062683,37.7809476852417,2.6621391773223877,,
,0,False,None,False,None,MobileNetV2,10,2,5,0.06073760986328125,0.9891501069068909,0.6223193407058716,0.8115941882133484,35.99266219139099,2.613971710205078,,
,0,False,None,False,None,MobileNetV2,10,2,6,0.024277862161397934,0.9963833689689636,0.5612094402313232,0.8115941882133484,34.413748264312744,3.965106248855591,,
,0,False,None,False,None,MobileNetV2,10,2,7,0.008350652642548084,1.0,0.5302273035049438,0.8405796885490417,33.15564250946045,2.558887481689453,,
,0,False,None,False,None,MobileNetV2,10,2,8,0.005708105396479368,1.0,0.49383312463760376,0.8695651888847351,32.025593757629395,2.607717275619507,,
,0,False,None,False,None,MobileNetV2,10,2,9,0.0036054456140846014,1.0,0.44105130434036255,0.8695651888847351,35.220613956451416,2.5547640323638916,,
,0,False,None,False,None,MobileNetV2,10,2,10,0.003027846571058035,1.0,0.45707830786705017,0.8695651888847351,33.2801673412323,3.602444887161255,,
,0,False,None,False,None,MobileNetV2,10,2,11,0.002720280084758997,1.0,0.45290207862854004,0.8695651888847351,34.49752068519592,3.3096771240234375,,
,0,False,None,False,None,MobileNetV2,10,2,12,0.0025284700095653534,1.0,0.4502103626728058,0.8695651888847351,32.92237997055054,2.641345500946045,,
,0,False,None,False,None,MobileNetV2,10,3,1,20.921337127685547,0.2133815586566925,6.0319952964782715,0.260869562625885,38.0854766368866,5.361111879348755,,
,0,False,None,False,None,MobileNetV2,10,3,2,2.2738583087921143,0.5207956433296204,1.7147059440612793,0.4057970941066742,37.371625661849976,2.6427040100097656,,
,0,False,None,False,None,MobileNetV2,10,3,3,0.7393225431442261,0.7377938628196716,1.0423213243484497,0.6231883764266968,31.3212308883667,2.449957847595215,,
,0,False,None,False,None,MobileNetV2,10,3,4,0.3262711465358734,0.909584105014801,0.8844619393348694,0.7101449370384216,34.88922357559204,3.064664363861084,,
,0,False,None,False,None,MobileNetV2,10,3,5,0.17187193036079407,0.9819168448448181,0.8788252472877502,0.7681159377098083,33.069514751434326,2.591142416000366,,
,0,False,None,False,None,MobileNetV2,10,3,6,0.11491315811872482,0.9909583926200867,0.9330579042434692,0.782608687877655,33.26556730270386,2.60440731048584,,
,0,False,None,False,None,MobileNetV2,10,3,7,0.062432948499917984,0.9963833689689636,0.8337173461914062,0.739130437374115,34.7661406993866,2.6658921241760254,,
,0,False,None,False,None,MobileNetV2,10,3,8,0.04199003428220749,1.0,0.8411660194396973,0.782608687877655,34.28204607963562,3.9022409915924072,,
,0,False,None,False,None,MobileNetV2,10,3,9,0.02902173064649105,1.0,0.8564247488975525,0.782608687877655,33.31414270401001,3.7349815368652344,,
,0,False,None,False,None,MobileNetV2,10,4,1,24.325927734375,0.2441229671239853,8.35297966003418,0.3188405930995941,40.215739727020264,4.734817981719971,,
,0,False,None,False,None,MobileNetV2,10,4,2,3.0789620876312256,0.482820987701416,1.8574609756469727,0.5072463750839233,32.90970206260681,2.439178466796875,,
,0,False,None,False,None,MobileNetV2,10,4,3,0.7137134671211243,0.7830017805099487,1.4222661256790161,0.47826087474823,34.22307467460632,4.45786714553833,,
,0,False,None,False,None,MobileNetV2,10,4,4,0.16933520138263702,0.9529837369918823,0.8242168426513672,0.7246376872062683,31.628727197647095,2.336049795150757,,
,0,False,None,False,None,MobileNetV2,10,4,5,0.059871405363082886,0.9891501069068909,0.6855916976928711,0.7536231875419617,31.9438054561615,2.572439670562744,,
,0,False,None,False,None,MobileNetV2,10,4,6,0.027504412457346916,1.0,0.6529046893119812,0.7681159377098083,34.52442479133606,4.0264458656311035,,
,0,False,None,False,None,MobileNetV2,10,4,7,0.0215451642870903,1.0,0.594042956829071,0.782608687877655,31.989248752593994,2.5795130729675293,,
,0,False,None,False,None,MobileNetV2,10,4,8,0.013845368288457394,1.0,0.5571845173835754,0.8405796885490417,32.24568748474121,2.515223264694214,,
,0,False,None,False,None,MobileNetV2,10,4,9,0.01019912026822567,1.0,0.5442595481872559,0.8405796885490417,36.51888966560364,4.287187099456787,,
,0,False,None,False,None,MobileNetV2,10,4,10,0.008383878506720066,1.0,0.5428312420845032,0.8550724387168884,32.90680170059204,2.7199935913085938,,
,0,False,None,False,None,MobileNetV2,10,4,11,0.007290897890925407,1.0,0.5275185704231262,0.8405796885490417,30.70973777770996,2.683587074279785,,
,0,False,None,False,None,MobileNetV2,10,4,12,0.006685614585876465,1.0,0.5233584046363831,0.8550724387168884,32.59530758857727,2.5559308528900146,,
,0,False,None,False,None,MobileNetV2,10,4,13,0.005803918465971947,1.0,0.5184488892555237,0.8695651888847351,32.4460346698761,2.5486714839935303,,
,0,False,None,False,None,MobileNetV2,10,5,1,21.834896087646484,0.2278480976819992,6.3759636878967285,0.3188405930995941,40.24290370941162,3.573805570602417,,
,0,False,None,False,None,MobileNetV2,10,5,2,2.1298024654388428,0.567811906337738,2.0255701541900635,0.5072463750839233,31.651233434677124,2.418583393096924,,
,0,False,None,False,None,MobileNetV2,10,5,3,0.5868465304374695,0.831826388835907,1.0721423625946045,0.6666666865348816,31.428894519805908,2.503422975540161,,
,0,False,None,False,None,MobileNetV2,10,5,4,0.20232979953289032,0.9330922365188599,0.8522014617919922,0.7101449370384216,31.65692162513733,2.479444980621338,,
,0,False,None,False,None,MobileNetV2,10,5,5,0.06096353754401207,0.9963833689689636,0.6206519603729248,0.7971014380455017,30.30807900428772,2.4859538078308105,,
,0,False,None,False,None,MobileNetV2,10,5,6,0.02316601574420929,1.0,0.5306417346000671,0.7971014380455017,29.83034110069275,2.347360849380493,,
,0,False,None,False,None,MobileNetV2,10,5,7,0.016786260530352592,1.0,0.48359453678131104,0.7971014380455017,32.51962184906006,2.3084352016448975,,
,0,False,None,False,None,MobileNetV2,10,5,8,0.011595700867474079,1.0,0.4831347167491913,0.7971014380455017,31.463918209075928,2.409135103225708,,
,0,False,None,False,None,MobileNetV2,10,5,9,0.00895516388118267,1.0,0.4697091579437256,0.8115941882133484,31.20863151550293,2.4085140228271484,,
,0,False,None,False,None,MobileNetV2,10,5,10,0.008072903379797935,1.0,0.46247604489326477,0.7971014380455017,30.818291664123535,2.481351137161255,,
,0,False,None,False,None,MobileNetV2,10,5,11,0.007285618223249912,1.0,0.4579276442527771,0.7971014380455017,31.396685361862183,2.8351528644561768,,
,0,False,None,False,None,MobileNetV2,10,5,12,0.006641365122050047,1.0,0.4587773382663727,0.7971014380455017,28.529253244400024,2.0825157165527344,,
,0,False,None,False,None,MobileNetV2,10,6,1,18.763477325439453,0.22242315113544464,3.5977110862731934,0.36231884360313416,38.57465386390686,3.7168378829956055,,
,0,False,None,False,None,MobileNetV2,10,6,2,1.6932293176651,0.5804701447486877,1.213175892829895,0.6811594367027283,28.285048007965088,2.4192380905151367,,
,0,False,None,False,None,MobileNetV2,10,6,3,0.34367644786834717,0.8824593424797058,0.8023450374603271,0.7536231875419617,28.659018754959106,3.2656476497650146,,
,0,False,None,False,None,MobileNetV2,10,6,4,0.07378493994474411,0.9909583926200867,0.6988481879234314,0.8260869383811951,29.8711154460907,3.9218873977661133,,
,0,False,None,False,None,MobileNetV2,10,6,5,0.032293498516082764,1.0,0.5352082252502441,0.8840579986572266,32.23823618888855,2.4409680366516113,,
,0,False,None,False,None,MobileNetV2,10,6,6,0.01878122054040432,1.0,0.5326734781265259,0.8695651888847351,36.44134974479675,4.684803247451782,,
,0,False,None,False,None,MobileNetV2,10,6,7,0.01400595810264349,1.0,0.5078788995742798,0.8840579986572266,32.69397330284119,2.5196897983551025,,
,0,False,None,False,None,MobileNetV2,10,6,8,0.010804401710629463,1.0,0.5038604140281677,0.8695651888847351,31.21484637260437,2.3497581481933594,,
,0,False,None,False,None,MobileNetV2,10,6,9,0.009486258029937744,1.0,0.49988245964050293,0.8985507488250732,32.76386260986328,2.5060300827026367,,
,0,False,None,False,None,MobileNetV2,10,6,10,0.00828074011951685,1.0,0.4913679361343384,0.8695651888847351,33.58224153518677,2.6855549812316895,,
,0,False,None,False,None,MobileNetV2,10,7,1,20.094844818115234,0.22061483561992645,3.753065586090088,0.3333333432674408,37.66137623786926,3.83762788772583,,
,0,False,None,False,None,MobileNetV2,10,7,2,1.781531810760498,0.5551537275314331,1.5476332902908325,0.47826087474823,36.913814067840576,3.7904975414276123,,
,0,False,None,False,None,MobileNetV2,10,7,3,0.5711992979049683,0.8101266026496887,1.0670924186706543,0.7101449370384216,32.28771781921387,2.4784696102142334,,
,0,False,None,False,None,MobileNetV2,10,7,4,0.24045851826667786,0.9330922365188599,0.8799203038215637,0.739130437374115,33.89321231842041,3.984048843383789,,
,0,False,None,False,None,MobileNetV2,10,7,5,0.11503759771585464,0.9855334758758545,0.8919957280158997,0.739130437374115,34.46792936325073,2.9866604804992676,,
,0,False,None,False,None,MobileNetV2,10,7,6,0.0599040761590004,1.0,0.8069801926612854,0.7971014380455017,35.761993646621704,4.385630369186401,,
,0,False,None,False,None,MobileNetV2,10,7,7,0.04022150859236717,1.0,0.8267692923545837,0.7536231875419617,34.59663724899292,2.5302512645721436,,
,0,False,None,False,None,MobileNetV2,10,7,8,0.02748330496251583,1.0,0.7287857532501221,0.7536231875419617,32.50127601623535,2.2873377799987793,,
,0,False,None,False,None,MobileNetV2,10,7,9,0.021711213514208794,1.0,0.7206681370735168,0.7681159377098083,33.02232336997986,2.5532119274139404,,
,0,False,None,False,None,MobileNetV2,10,7,10,0.017684290185570717,1.0,0.7651087641716003,0.782608687877655,32.1449019908905,2.5999999046325684,,
,0,False,None,False,None,MobileNetV2,10,7,11,0.01467066165059805,1.0,0.7520093321800232,0.7681159377098083,32.63328719139099,2.4876370429992676,,
,0,False,None,False,None,MobileNetV2,10,7,12,0.012390981428325176,1.0,0.7426334619522095,0.7681159377098083,31.756755113601685,2.367488145828247,,
,0,False,None,False,None,MobileNetV2,10,7,13,0.01049708854407072,1.0,0.7940717935562134,0.782608687877655,34.11676573753357,2.507657527923584,,
,0,False,None,False,None,MobileNetV2,10,8,1,15.987645149230957,0.23327305912971497,3.0123612880706787,0.28985506296157837,39.65256094932556,5.497422218322754,,
,0,False,None,False,None,MobileNetV2,10,8,2,1.629392385482788,0.43761301040649414,1.7723971605300903,0.260869562625885,36.084325551986694,2.6978819370269775,,
,0,False,None,False,None,MobileNetV2,10,8,3,0.8178808689117432,0.7088607549667358,1.36101233959198,0.49275362491607666,36.240453004837036,2.7477805614471436,,
,0,False,None,False,None,MobileNetV2,10,8,4,0.4596197307109833,0.8499096035957336,1.0164682865142822,0.5942028760910034,33.50369834899902,2.773860216140747,,
,0,False,None,False,None,MobileNetV2,10,8,5,0.27737221121788025,0.9421338438987732,0.9946187138557434,0.6086956262588501,38.82042717933655,3.192157506942749,,
,0,False,None,False,None,MobileNetV2,10,8,6,0.17336516082286835,0.9837251305580139,0.9046311974525452,0.6666666865348816,33.74480748176575,2.683110237121582,,
,0,False,None,False,None,MobileNetV2,10,8,7,0.11992087960243225,0.9837251305580139,0.8757975101470947,0.6811594367027283,33.08942484855652,2.51312518119812,,
,0,False,None,False,None,MobileNetV2,10,8,8,0.0860663652420044,0.9981916546821594,0.8079411387443542,0.695652186870575,35.059380531311035,2.575559377670288,,
,0,False,None,False,None,MobileNetV2,10,8,9,0.06096828356385231,0.9981916546821594,0.8157129287719727,0.695652186870575,31.854583740234375,2.246109962463379,,
,0,False,None,False,None,MobileNetV2,10,8,10,0.04193895682692528,1.0,0.8422221541404724,0.7536231875419617,35.405776023864746,2.508617639541626,,
,0,False,None,False,None,MobileNetV2,10,8,11,0.030958861112594604,1.0,0.8156394958496094,0.7536231875419617,38.540786027908325,2.7315735816955566,,
,0,False,None,False,None,MobileNetV2,10,9,1,32.343788146972656,0.1862567812204361,9.38479232788086,0.3478260934352875,39.21348214149475,5.445575475692749,,
,0,False,None,False,None,MobileNetV2,10,9,2,4.057955741882324,0.5117540955543518,2.5377488136291504,0.52173912525177,33.85055136680603,2.6748170852661133,,
,0,False,None,False,None,MobileNetV2,10,9,3,0.8431040048599243,0.7902351021766663,1.7381160259246826,0.5942028760910034,33.07204794883728,2.500450372695923,,
,0,False,None,False,None,MobileNetV2,10,9,4,0.14008492231369019,0.943942129611969,1.0325113534927368,0.6811594367027283,35.069029808044434,2.517282247543335,,
,0,False,None,False,None,MobileNetV2,10,9,5,0.03560268506407738,0.9909583926200867,0.980355978012085,0.7246376872062683,33.3758749961853,3.2013497352600098,,
,0,False,None,False,None,MobileNetV2,10,9,6,0.013635276816785336,1.0,0.8114153146743774,0.739130437374115,32.65298533439636,2.460090160369873,,
,0,False,None,False,None,MobileNetV2,10,9,7,0.00556559581309557,1.0,0.7570827603340149,0.782608687877655,35.68303442001343,2.8196780681610107,,
,0,False,None,False,None,MobileNetV2,10,9,8,0.004156519193202257,1.0,0.7274160385131836,0.782608687877655,32.68676972389221,2.6755199432373047,,
,0,False,None,False,None,MobileNetV2,10,9,9,0.003467890666797757,1.0,0.7216207981109619,0.782608687877655,32.14885449409485,2.520186424255371,,
,0,False,None,False,None,MobileNetV2,10,9,10,0.0030295043252408504,1.0,0.7140552401542664,0.8115941882133484,35.265523195266724,2.6459152698516846,,
,0,False,None,False,None,MobileNetV2,10,9,11,0.002839265391230583,1.0,0.7093172669410706,0.8115941882133484,33.305134296417236,2.6297502517700195,,
,0,False,None,False,None,MobileNetV2,10,9,12,0.002595058176666498,1.0,0.7026317715644836,0.8115941882133484,33.37120175361633,2.4862701892852783,,
,0,False,None,False,None,MobileNetV2,10,9,13,0.0023921846877783537,1.0,0.7024552822113037,0.8115941882133484,34.145750999450684,4.038197040557861,,
,0,False,None,False,None,MobileNetV2,10,9,14,0.0021927233319729567,1.0,0.6986647248268127,0.8115941882133484,32.76291561126709,2.6337568759918213,,
,0,False,None,False,None,MobileNetV2,10,9,15,0.0020552368368953466,1.0,0.6973753571510315,0.8115941882133484,35.68982672691345,3.436983108520508,,
,0,False,None,False,None,MobileNetV2,10,9,16,0.0019241560949012637,1.0,0.6907533407211304,0.8115941882133484,34.80097770690918,3.8179709911346436,,
,0,False,None,False,None,MobileNetV2,10,10,1,28.68655014038086,0.23188406229019165,7.800843238830566,0.2857142984867096,38.111488342285156,3.583528995513916,,
,0,False,None,False,None,MobileNetV2,10,10,2,3.2325847148895264,0.5,3.2450129985809326,0.48571428656578064,35.77806496620178,2.9349849224090576,,
,0,False,None,False,None,MobileNetV2,10,10,3,0.5470691919326782,0.8278985619544983,2.0475924015045166,0.6285714507102966,33.06445860862732,2.6700360774993896,,
,0,False,None,False,None,MobileNetV2,10,10,4,0.1470453292131424,0.9474637508392334,1.219612717628479,0.6857143044471741,31.52252960205078,2.5072319507598877,,
,0,False,None,False,None,MobileNetV2,10,10,5,0.03461263328790665,0.9945651888847351,1.2388654947280884,0.6714285612106323,37.492658376693726,2.5719733238220215,,
,0,False,None,False,None,MobileNetV2,10,10,6,0.013591569848358631,1.0,1.180978775024414,0.6857143044471741,31.723227500915527,2.5715909004211426,,
,0,False,None,False,None,MobileNetV2,10,10,7,0.007633572909981012,1.0,1.0978442430496216,0.7142857313156128,34.98213338851929,2.6921322345733643,,
,0,False,None,False,None,MobileNetV2,10,10,8,0.005697034765034914,1.0,1.1026216745376587,0.7142857313156128,32.97340488433838,2.712642192840576,,
,0,False,None,False,None,MobileNetV2,10,10,9,0.004726265091449022,1.0,1.104658603668213,0.7142857313156128,34.91747522354126,3.3919482231140137,,
,0,False,None,False,None,MobileNetV2,10,10,10,0.004063236061483622,1.0,1.125440239906311,0.7142857313156128,34.656450510025024,3.868281841278076,,
,0,False,None,False,None,MobileNetV2,10,10,11,0.0037180802319198847,1.0,1.1103103160858154,0.7142857313156128,32.427003383636475,2.645122766494751,,
,0,False,None,False,None,MobileNetV2,10,10,12,0.0033376857172697783,1.0,1.1029337644577026,0.7142857313156128,34.87598991394043,2.8874781131744385,,
